Cluster Index	Z	x	y	z	
4	5.97	43	42	27
4	5.06	45	43	25
4	4.84	43	41	20
4	4.78	40	37	28
4	4.54	46	45	22
4	4.16	45	34	32
3	6.01	41	17	13
3	5.83	45	15	14
3	5.83	40	15	12
3	5.54	42	21	13
3	4.87	44	19	14
3	4.79	47	18	18
2	6.09	27	9	15
2	5.81	32	10	16
2	4.58	24	11	14
2	4.33	25	6	18
2	4.28	25	18	14
2	4.25	20	18	11
1	4.2	33	38	31
1	3.61	31	37	33
