Cluster Index	Z	x	y	z	
4	6.44	19.5	-90.2	0.283
4	5.67	-33.7	-66.7	-14.7
4	5.44	0.547	-82.8	10.3
4	4.5	28.7	-53.3	-16.5
4	4.3	30.3	-83.3	-5.18
4	4.19	36.3	-56.9	-19.5
3	4.45	-31.6	-36	-21.9
3	3.56	-23.8	-42.4	-20.2
3	3.42	-20.4	-36.5	-29.7
3	3.12	-39.5	-26.2	-24.5
2	3.84	20.8	25.7	29.6
2	3.28	42	46.7	21
2	3.23	18.1	5.71	38.4
2	3.08	27.8	32.9	28
2	3.03	34.5	46.8	24.8
2	2.83	14	14.7	28
1	3.98	58.7	12.7	-31.6
1	3.65	40.7	1.62	-29.3
1	3.62	48.3	-1.9	-32.4
1	3.13	47	22.3	-34.1
1	2.84	50.5	28.3	-43.6
