Cluster Index	Z	x	y	z	
4	6.23	-45.9	24.7	20.2
4	5.16	-34.8	25.3	20.3
4	4.79	-37.9	12	27.5
4	4.72	-53.9	35.3	-2.89
4	4.6	-52.1	-0.25	46.3
4	4.46	-52.8	14.7	26.5
3	5.35	-45.2	-60	-12.4
3	4.83	-56.4	-58.5	3.22
3	4.51	-64.1	-52.6	-2.43
3	4.43	-51.9	-73.9	-9.27
3	3.97	-45	-62	-28.2
3	3.59	-23.9	-41.4	-12.3
2	3.89	-1.19	19.8	46.7
2	3.7	-0.832	13.1	48.4
2	3.69	-8.38	15.6	43.5
2	3.08	13.6	20.6	46.9
2	2.77	-15.4	8.41	45.1
1	4.12	47	22	-9.64
1	2.88	38.6	40.1	-1.95
1	2.75	61.9	22.2	-13.4
