Cluster Index	Z	x	y	z	
2	6.43	-33.7	-66.7	-14.7
2	6.24	-29.6	-73.8	-16.9
2	6.2	0.788	-87.2	3.23
2	6.18	19.5	-90.2	0.283
2	5.61	-37.9	-57.2	-21.1
2	5.17	-31.6	-36	-21.9
1	4.31	-63.4	3.78	0.372
1	4.2	-70.1	-10.2	3.55
1	4.19	-38.3	20.7	13.2
1	3.89	-45.7	21.2	-7.46
1	3.8	-52.8	14	-5.9
1	3.75	-34.7	22.7	0.552
