Cluster Index	Z	x	y	z	
4	5.97	-45.9	24.7	20.2
4	5.06	-53.5	26.7	11.4
4	4.84	-45.5	17.8	-6.64
4	4.78	-34	8.83	28.3
4	4.54	-57.4	31.8	-2.12
4	4.16	-52.1	-0.25	46.3
3	6.01	-33.7	-66.7	-14.7
3	5.83	-48.1	-73.7	-9.23
3	5.83	-29.6	-73.8	-16.9
3	5.54	-38.1	-53.4	-17.9
3	4.87	-45.2	-60	-12.4
3	4.79	-56.2	-61.9	4.04
2	6.09	19.5	-90.2	0.283
2	5.81	0.788	-87.2	3.23
2	4.58	30.3	-83.3	-5.18
2	4.33	27.3	-98.4	14.6
2	4.28	25.3	-59.8	-10.9
2	4.25	43.9	-60.4	-22.6
1	4.2	-8.35	15.1	39.6
1	3.61	-0.832	13.1	48.4
