Cluster Index	Z	x	y	z	
4	6.44	27	9	15
4	5.67	41	17	13
4	5.44	32	11	18
4	4.5	24	20	13
4	4.3	24	11	14
4	4.19	22	19	12
3	4.45	40	26	13
3	3.56	38	24	13
3	3.42	37	26	11
3	3.12	42	29	13
2	3.84	25	41	29
2	3.28	19	47	28
2	3.23	26	35	30
2	3.08	23	43	29
2	3.03	21	47	29
2	2.83	27	38	28
1	3.98	15	39	13
1	3.65	20	36	13
1	3.62	18	35	12
1	3.13	18	42	13
1	2.84	17	44	11
