Cluster Index	Z	x	y	z	
4	6.23	43	42	27
4	5.16	40	42	27
4	4.79	41	38	28
4	4.72	45	46	22
4	4.6	45	34	32
4	4.46	45	39	28
3	5.35	44	19	14
3	4.83	47	19	18
3	4.51	49	21	17
3	4.43	46	15	14
3	3.97	44	19	10
3	3.59	38	24	15
2	3.89	31	39	33
2	3.7	31	37	33
2	3.69	33	38	32
2	3.08	27	39	33
2	2.77	35	36	32
1	4.12	18	41	19
1	2.88	20	46	22
1	2.75	14	41	18
