Cluster Index	Z	x	y	z	
5	6.12	45	15	14
5	5.99	42	21	13
5	5.76	40	15	12
5	5.74	39	13	12
5	5.66	41	17	13
5	5.16	43	18	13
4	5.27	41	41	25
4	5.12	43	41	20
4	4.94	40	37	28
4	4.51	47	38	21
4	4.44	45	45	22
4	4.38	45	42	25
3	5.84	32	10	16
3	5.61	28	7	16
3	4.72	19	18	10
3	4.64	24	11	14
3	4.52	25	6	18
3	4.19	23	14	11
2	4.81	48	17	18
2	4.37	47	20	22
2	2.81	50	18	21
2	2.66	47	24	16
2	2.6	46	23	20
1	4.67	33	38	31
1	3.13	33	43	28
1	3.05	36	39	30
